timestamp,route_id,TTI0000,TTI0015,TTI0030,TTI0045,TTI0100,TTI0115,TTI0130,TTI0145,TTI0200,TTI0215,TTI0230,TTI0245,TTI0300,TTI0315,TTI0330,TTI0345,TTI0400,TTI0415,TTI0430,TTI0445,TTI0500,TTI0515,TTI0530,TTI0545,TTI0600,TTI0615,TTI0630,TTI0645,TTI0700,TTI0715,TTI0730,TTI0745,TTI0800,TTI0815,TTI0830,TTI0845,TTI0900,TTI0915,TTI0930,TTI0945,TTI1000,TTI1015,TTI1030,TTI1045,TTI1100,TTI1115,TTI1130,TTI1145,TTI1200,TTI1215,TTI1230,TTI1245,TTI1300,TTI1315,TTI1330,TTI1345,TTI1400,TTI1415,TTI1430,TTI1445,TTI1500,TTI1515,TTI1530,TTI1545,TTI1600,TTI1615,TTI1630,TTI1645,TTI1700,TTI1715,TTI1730,TTI1745,TTI1800,TTI1815,TTI1830,TTI1845,TTI1900,TTI1915,TTI1930,TTI1945,TTI2000,TTI2015,TTI2030,TTI2045,TTI2100,TTI2115,TTI2130,TTI2145,TTI2200,TTI2215,TTI2230,TTI2245,TTI2300,TTI2315,TTI2330,TTI2345,averageTTI,direction_1,v0000,v0015,v0030,v0045,v0100,v0115,v0130,v0145,v0200,v0215,v0230,v0245,v0300,v0315,v0330,v0345,v0400,v0415,v0430,v0445,v0500,v0515,v0530,v0545,v0600,v0615,v0630,v0645,v0700,v0715,v0730,v0745,v0800,v0815,v0830,v0845,v0900,v0915,v0930,v0945,v1000,v1015,v1030,v1045,v1100,v1115,v1130,v1145,v1200,v1215,v1230,v1245,v1300,v1315,v1330,v1345,v1400,v1415,v1430,v1445,v1500,v1515,v1530,v1545,v1600,v1615,v1630,v1645,v1700,v1715,v1730,v1745,v1800,v1815,v1830,v1845,v1900,v1915,v1930,v1945,v2000,v2015,v2030,v2045,v2100,v2115,v2130,v2145,v2200,v2215,v2230,v2245,v2300,v2315,v2330,v2345,v_avg
20190601,1,1.05,1.07,1.09,1.10,1.10,1.11,1.12,1.14,1.14,1.14,1.14,1.13,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.13,1.14,1.16,1.19,1.23,1.28,1.31,1.36,1.38,1.35,1.32,1.34,1.39,1.43,1.43,1.44,1.44,1.46,1.49,1.47,1.46,1.45,1.50,1.52,1.52,1.55,1.56,1.57,1.57,1.55,1.52,1.52,1.57,1.54,1.53,1.55,1.52,1.53,1.54,1.54,1.58,1.63,1.72,1.78,1.76,1.70,1.68,1.67,1.67,1.64,1.59,1.55,1.53,1.52,1.53,1.53,1.47,1.44,1.44,1.43,1.42,1.40,1.36,1.34,1.36,1.39,1.41,1.43,1.46,1.48,1.49,1.48,1.44,1.42,1.44,1.33,1.20,1.40,FALSE,38.50,37.54,36.88,36.68,36.45,36.23,35.83,35.36,35.18,35.16,35.35,35.50,35.50,35.38,35.24,35.24,35.33,35.44,35.43,35.45,35.27,34.80,33.89,32.65,31.55,30.61,29.57,29.23,29.82,30.50,30.12,29.00,28.05,28.08,28.02,27.96,27.51,27.01,27.29,27.58,27.71,26.89,26.50,26.41,26.02,25.86,25.55,25.64,26.03,26.50,26.55,25.69,26.19,26.31,25.98,26.47,26.33,26.10,26.08,25.45,24.62,23.42,22.61,22.90,23.61,23.89,24.08,24.12,24.58,25.29,25.92,26.29,26.52,26.29,26.26,27.44,27.97,27.87,28.11,28.30,28.77,29.64,30.05,29.48,28.88,28.52,28.07,27.50,27.19,26.95,27.14,27.86,28.29,27.92,30.16,33.62,29.28
20190601,2,1.04,1.06,1.07,1.07,1.07,1.07,1.08,1.10,1.12,1.13,1.14,1.16,1.20,1.25,1.29,1.32,1.33,1.34,1.34,1.36,1.37,1.39,1.39,1.38,1.36,1.37,1.39,1.38,1.37,1.38,1.42,1.47,1.44,1.39,1.38,1.39,1.44,1.47,1.45,1.44,1.42,1.47,1.52,1.52,1.53,1.56,1.56,1.53,1.48,1.42,1.39,1.42,1.45,1.48,1.48,1.47,1.46,1.46,1.45,1.44,1.44,1.43,1.42,1.39,1.36,1.38,1.43,1.44,1.45,1.43,1.43,1.44,1.45,1.47,1.48,1.45,1.44,1.48,1.49,1.52,1.53,1.52,1.54,1.60,1.65,1.67,1.66,1.63,1.61,1.59,1.55,1.53,1.52,1.53,1.40,1.22,1.40,FALSE,47.51,46.59,46.08,46.24,46.32,46.11,45.61,44.81,44.10,43.89,43.36,42.50,41.11,39.46,38.26,37.37,37.18,36.88,36.80,36.41,35.96,35.56,35.50,35.77,36.36,35.92,35.55,35.73,36.14,35.77,34.75,33.71,34.27,35.42,35.91,35.59,34.22,33.59,34.12,34.39,34.71,33.68,32.49,32.45,32.17,31.65,31.74,32.27,33.26,34.71,35.43,34.78,33.97,33.40,33.38,33.69,33.74,33.88,33.99,34.25,34.28,34.49,34.83,35.57,36.31,35.73,34.54,34.22,34.12,34.50,34.60,34.41,33.96,33.57,33.40,34.16,34.26,33.44,33.07,32.57,32.27,32.49,32.03,30.87,30.00,29.52,29.80,30.21,30.61,31.13,31.78,32.26,32.59,32.21,35.31,40.62,35.63
20190601,3,1.05,1.09,1.11,1.11,1.12,1.17,1.23,1.28,1.30,1.31,1.32,1.32,1.30,1.29,1.29,1.31,1.36,1.37,1.35,1.31,1.27,1.25,1.27,1.29,1.30,1.31,1.30,1.30,1.32,1.37,1.43,1.47,1.47,1.46,1.42,1.40,1.42,1.43,1.45,1.50,1.54,1.55,1.56,1.55,1.51,1.51,1.46,1.40,1.41,1.43,1.46,1.53,1.50,1.47,1.47,1.46,1.48,1.49,1.48,1.47,1.47,1.45,1.41,1.39,1.41,1.45,1.47,1.51,1.55,1.56,1.58,1.55,1.46,1.38,1.35,1.37,1.40,1.42,1.42,1.38,1.35,1.31,1.28,1.29,1.31,1.36,1.43,1.44,1.46,1.49,1.52,1.53,1.53,1.42,1.27,1.14,1.39,FALSE,50.75,49.21,48.18,48.27,47.62,45.66,43.42,41.91,41.13,40.68,40.53,40.57,41.09,41.51,41.58,40.70,39.40,39.08,39.62,40.80,42.22,42.85,42.03,41.31,40.96,40.88,41.10,41.07,40.54,39.06,37.50,36.40,36.36,36.63,37.57,38.08,37.59,37.31,36.91,35.57,34.62,34.46,34.32,34.55,35.40,35.43,36.66,38.26,37.78,37.36,36.52,35.04,35.61,36.25,36.24,36.71,36.23,35.79,36.14,36.25,36.31,36.95,37.82,38.40,37.97,36.93,36.39,35.29,34.48,34.32,33.78,34.48,36.48,38.62,39.73,38.89,38.28,37.64,37.67,38.73,39.63,40.75,41.61,41.58,40.95,39.42,37.47,37.04,36.66,35.84,35.22,34.84,35.01,37.61,42.13,46.81,38.80
20190601,4,1.05,1.09,1.12,1.16,1.21,1.24,1.25,1.26,1.25,1.26,1.26,1.25,1.25,1.25,1.25,1.23,1.21,1.21,1.20,1.20,1.21,1.21,1.20,1.19,1.17,1.17,1.18,1.18,1.20,1.22,1.24,1.25,1.25,1.26,1.27,1.29,1.28,1.28,1.29,1.33,1.35,1.37,1.37,1.36,1.34,1.32,1.30,1.30,1.33,1.37,1.40,1.44,1.47,1.45,1.39,1.31,1.27,1.26,1.26,1.26,1.27,1.29,1.31,1.33,1.33,1.31,1.30,1.28,1.27,1.27,1.27,1.27,1.27,1.26,1.24,1.23,1.23,1.23,1.23,1.21,1.20,1.17,1.15,1.14,1.16,1.18,1.20,1.22,1.23,1.24,1.23,1.23,1.23,1.24,1.20,1.12,1.25,FALSE,44.22,42.80,41.62,40.24,38.58,37.69,37.44,37.10,37.21,37.09,37.11,37.28,37.29,37.24,37.44,37.88,38.47,38.70,38.81,38.79,38.70,38.54,38.77,39.33,39.81,39.92,39.65,39.43,38.93,38.34,37.76,37.31,37.36,37.06,36.61,36.28,36.40,36.57,36.08,35.04,34.57,33.95,33.99,34.33,34.83,35.35,35.93,35.79,35.17,34.07,33.24,32.45,31.82,32.16,33.65,35.50,36.66,37.14,37.01,37.05,36.71,36.08,35.59,35.03,35.01,35.51,35.81,36.40,36.70,36.74,36.61,36.62,36.85,37.15,37.67,37.93,37.89,37.88,38.07,38.58,39.03,39.94,40.67,40.75,40.29,39.52,38.93,38.34,37.91,37.64,37.81,37.92,37.79,37.61,38.85,41.50,37.34
20190601,5,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.05,1.06,1.08,1.11,1.13,1.14,1.18,1.26,1.35,1.39,1.37,1.34,1.32,1.41,1.49,1.49,1.50,1.52,1.53,1.55,1.54,1.51,1.54,1.59,1.58,1.52,1.51,1.45,1.43,1.48,1.44,1.43,1.49,1.42,1.38,1.41,1.39,1.46,1.59,1.65,1.62,1.59,1.45,1.33,1.32,1.35,1.42,1.50,1.46,1.41,1.41,1.46,1.59,1.67,1.66,1.67,1.70,1.71,1.67,1.53,1.39,1.33,1.30,1.33,1.40,1.47,1.47,1.41,1.39,1.39,1.39,1.39,1.34,1.30,1.30,1.31,1.30,1.32,1.26,1.15,1.35,FALSE,44.77,44.54,44.47,44.38,44.33,44.34,44.31,44.30,44.24,44.07,43.94,43.93,43.86,43.86,43.86,43.81,43.65,43.16,42.20,41.00,40.30,40.06,38.60,36.29,33.83,32.95,33.23,34.04,34.48,32.39,30.57,30.66,30.45,30.12,29.81,29.40,29.73,30.22,29.70,28.72,28.91,29.97,30.24,31.40,31.86,30.84,31.69,31.98,30.67,32.20,33.07,32.47,32.91,31.21,28.75,27.75,28.17,28.79,31.54,34.34,34.61,33.92,32.23,30.48,31.34,32.43,32.32,31.29,28.70,27.33,27.50,27.33,26.78,26.72,27.38,29.78,32.87,34.44,35.17,34.40,32.60,31.01,31.09,32.47,32.81,32.86,32.74,32.74,33.95,35.02,35.14,34.91,35.07,34.58,36.23,39.54,34.49
20190601,6,1.04,1.08,1.11,1.11,1.11,1.08,1.05,1.03,1.03,1.03,1.02,1.01,1.01,1.01,1.01,1.02,1.03,1.07,1.13,1.20,1.25,1.28,1.29,1.29,1.29,1.27,1.24,1.21,1.18,1.17,1.16,1.15,1.14,1.14,1.17,1.19,1.18,1.20,1.21,1.22,1.24,1.23,1.22,1.20,1.21,1.23,1.25,1.28,1.29,1.29,1.29,1.28,1.25,1.24,1.23,1.23,1.22,1.24,1.24,1.25,1.23,1.20,1.18,1.16,1.17,1.20,1.24,1.28,1.28,1.24,1.17,1.14,1.13,1.15,1.18,1.20,1.24,1.26,1.28,1.29,1.26,1.24,1.22,1.20,1.19,1.19,1.20,1.22,1.24,1.27,1.31,1.32,1.32,1.31,1.23,1.15,1.19,FALSE,61.30,59.34,57.29,57.29,57.64,59.15,60.98,61.81,62.02,62.06,62.55,63.06,63.16,63.14,63.10,62.82,61.96,59.79,56.47,53.11,50.98,49.74,49.42,49.70,49.55,50.19,51.48,52.80,53.94,54.49,55.02,55.62,56.12,55.99,54.62,53.77,53.90,53.35,52.79,52.33,51.70,51.75,52.31,53.04,52.69,51.78,50.99,50.04,49.67,49.43,49.43,49.99,50.99,51.35,51.81,51.90,52.17,51.65,51.46,50.97,51.78,53.05,54.28,55.03,54.54,53.35,51.45,50.03,50.09,51.69,54.37,56.22,56.72,55.75,54.28,53.01,51.44,50.64,49.86,49.69,50.69,51.56,52.50,53.27,53.57,53.76,53.27,52.28,51.46,50.25,48.84,48.27,48.56,48.75,51.76,55.63,53.86
20190601,7,1.08,1.14,1.19,1.19,1.19,1.17,1.14,1.13,1.13,1.11,1.07,1.04,1.03,1.03,1.03,1.04,1.07,1.12,1.17,1.19,1.19,1.17,1.17,1.20,1.26,1.29,1.28,1.25,1.24,1.27,1.28,1.29,1.30,1.31,1.33,1.35,1.37,1.38,1.39,1.39,1.35,1.32,1.32,1.32,1.34,1.36,1.35,1.33,1.32,1.33,1.32,1.34,1.36,1.38,1.40,1.42,1.39,1.42,1.48,1.55,1.56,1.55,1.48,1.38,1.32,1.30,1.32,1.36,1.38,1.36,1.33,1.32,1.31,1.35,1.37,1.39,1.43,1.41,1.37,1.32,1.27,1.25,1.24,1.26,1.29,1.27,1.25,1.24,1.22,1.22,1.23,1.22,1.21,1.21,1.19,1.13,1.28,FALSE,48.67,46.23,44.10,44.10,44.15,44.97,46.16,46.61,46.66,47.34,48.96,50.42,50.85,50.93,50.88,50.55,49.29,46.83,44.89,44.19,44.36,44.89,44.99,43.82,41.70,40.75,41.20,42.17,42.36,41.40,41.03,40.68,40.58,40.12,39.56,38.86,38.43,38.08,37.88,37.93,39.10,39.98,39.83,39.80,39.31,38.78,39.00,39.46,39.71,39.66,39.82,39.29,38.81,38.20,37.55,37.10,37.74,37.05,35.65,33.86,33.64,34.00,35.49,38.04,39.99,40.59,39.83,38.77,38.25,38.82,39.46,39.71,40.09,39.07,38.53,37.75,36.89,37.28,38.26,39.87,41.47,42.10,42.56,41.82,40.71,41.44,42.08,42.56,43.17,43.16,42.73,43.02,43.52,43.36,44.34,46.48,41.52
20190601,8,1.08,1.11,1.11,1.09,1.08,1.07,1.08,1.09,1.11,1.14,1.17,1.18,1.19,1.18,1.16,1.14,1.13,1.14,1.14,1.15,1.15,1.16,1.15,1.17,1.20,1.22,1.26,1.27,1.24,1.20,1.17,1.18,1.24,1.33,1.37,1.42,1.46,1.55,1.57,1.47,1.35,1.27,1.24,1.21,1.20,1.22,1.21,1.22,1.22,1.24,1.25,1.26,1.27,1.28,1.27,1.24,1.19,1.17,1.21,1.24,1.27,1.32,1.31,1.29,1.32,1.34,1.37,1.43,1.40,1.35,1.34,1.36,1.40,1.47,1.48,1.42,1.33,1.27,1.23,1.20,1.17,1.17,1.18,1.18,1.16,1.14,1.14,1.17,1.16,1.15,1.17,1.17,1.17,1.19,1.16,1.11,1.24,FALSE,51.56,49.90,49.82,50.80,51.55,51.81,51.59,50.82,50.06,48.69,47.57,46.93,46.72,46.97,47.73,48.65,49.10,48.84,48.60,48.35,48.10,47.93,48.37,47.57,46.19,45.61,44.05,43.65,44.86,46.10,47.45,46.87,44.72,41.58,40.37,39.12,37.87,35.79,35.40,37.69,40.95,43.53,44.91,45.97,46.35,45.63,45.90,45.42,45.31,44.92,44.42,44.05,43.78,43.29,43.61,44.75,46.65,47.26,45.86,44.67,43.58,41.89,42.37,42.85,42.09,41.46,40.43,38.79,39.67,41.24,41.52,40.93,39.55,37.65,37.47,38.95,41.64,43.80,45.28,46.20,47.39,47.60,46.99,47.08,47.83,48.50,48.56,47.57,47.80,48.15,47.42,47.35,47.53,46.72,47.81,49.90,45.25
20190601,9,1.05,1.08,1.09,1.10,1.12,1.14,1.16,1.18,1.19,1.17,1.16,1.15,1.16,1.18,1.20,1.26,1.30,1.33,1.34,1.32,1.31,1.31,1.31,1.31,1.32,1.32,1.32,1.33,1.33,1.35,1.39,1.43,1.46,1.47,1.47,1.46,1.46,1.49,1.54,1.58,1.60,1.59,1.58,1.59,1.58,1.54,1.50,1.45,1.45,1.49,1.58,1.68,1.74,1.76,1.73,1.68,1.66,1.62,1.59,1.61,1.64,1.65,1.67,1.60,1.52,1.49,1.53,1.59,1.59,1.55,1.48,1.48,1.45,1.44,1.42,1.39,1.38,1.34,1.33,1.32,1.31,1.29,1.29,1.27,1.26,1.29,1.33,1.33,1.32,1.29,1.28,1.28,1.29,1.29,1.22,1.13,1.40,FALSE,40.04,38.91,38.30,38.13,37.59,36.93,36.02,35.57,35.37,35.85,36.19,36.31,36.05,35.61,34.83,33.31,32.14,31.47,31.28,31.75,32.02,32.03,31.95,31.97,31.78,31.65,31.65,31.60,31.60,31.04,30.13,29.41,28.66,28.54,28.54,28.75,28.64,28.22,27.18,26.56,26.26,26.29,26.53,26.37,26.60,27.14,27.91,28.98,28.97,28.10,26.52,24.94,24.13,23.84,24.20,24.89,25.30,25.88,26.35,26.11,25.53,25.37,25.04,26.18,27.62,28.13,27.44,26.33,26.32,27.08,28.29,28.37,28.87,29.05,29.59,30.07,30.39,31.19,31.59,31.81,32.08,32.60,32.48,32.93,33.36,32.52,31.62,31.43,31.69,32.42,32.79,32.66,32.60,32.58,34.44,37.05,30.50
20190602,1,1.03,1.04,1.05,1.04,1.03,1.03,1.04,1.07,1.10,1.12,1.13,1.14,1.13,1.13,1.15,1.19,1.24,1.27,1.31,1.33,1.40,1.46,1.50,1.50,1.47,1.45,1.45,1.43,1.42,1.39,1.39,1.39,1.41,1.43,1.43,1.39,1.37,1.38,1.43,1.44,1.43,1.43,1.40,1.40,1.40,1.39,1.36,1.38,1.41,1.42,1.40,1.42,1.40,1.37,1.36,1.35,1.37,1.39,1.41,1.40,1.38,1.37,1.37,1.41,1.45,1.42,1.38,1.37,1.38,1.43,1.50,1.51,1.44,1.39,1.33,1.30,1.31,1.35,1.36,1.36,1.33,1.30,1.28,1.29,1.31,1.31,1.33,1.33,1.33,1.32,1.32,1.30,1.30,1.33,1.29,1.20,1.33,FALSE,39.25,38.59,38.24,38.77,39.02,39.09,38.66,37.77,36.55,35.80,35.53,35.40,35.58,35.50,35.06,33.87,32.51,31.58,30.72,30.25,28.64,27.63,26.84,26.77,27.30,27.67,27.66,28.07,28.33,28.87,28.91,28.87,28.48,28.07,28.23,29.02,29.40,29.06,28.10,27.87,28.08,28.18,28.74,28.80,28.68,29.02,29.58,29.25,28.56,28.34,28.68,28.39,28.71,29.38,29.53,29.79,29.39,28.90,28.52,28.64,29.25,29.46,29.28,28.54,27.84,28.40,29.14,29.30,29.13,28.21,26.86,26.73,27.84,28.93,30.34,31.04,30.78,29.80,29.56,29.66,30.29,30.93,31.45,31.23,30.78,30.65,30.29,30.19,30.20,30.39,30.58,30.91,31.01,30.24,31.25,33.56,30.55
