timestamp,route_id,TTI0000,TTI0015,TTI0030,TTI0045,TTI0100,TTI0115,TTI0130,TTI0145,TTI0200,TTI0215,TTI0230,TTI0245,TTI0300,TTI0315,TTI0330,TTI0345,TTI0400,TTI0415,TTI0430,TTI0445,TTI0500,TTI0515,TTI0530,TTI0545,TTI0600,TTI0615,TTI0630,TTI0645,TTI0700,TTI0715,TTI0730,TTI0745,TTI0800,TTI0815,TTI0830,TTI0845,TTI0900,TTI0915,TTI0930,TTI0945,TTI1000,TTI1015,TTI1030,TTI1045,TTI1100,TTI1115,TTI1130,TTI1145,TTI1200,TTI1215,TTI1230,TTI1245,TTI1300,TTI1315,TTI1330,TTI1345,TTI1400,TTI1415,TTI1430,TTI1445,TTI1500,TTI1515,TTI1530,TTI1545,TTI1600,TTI1615,TTI1630,TTI1645,TTI1700,TTI1715,TTI1730,TTI1745,TTI1800,TTI1815,TTI1830,TTI1845,TTI1900,TTI1915,TTI1930,TTI1945,TTI2000,TTI2015,TTI2030,TTI2045,TTI2100,TTI2115,TTI2130,TTI2145,TTI2200,TTI2215,TTI2230,TTI2245,TTI2300,TTI2315,TTI2330,TTI2345,averageTTI,durv85,mTTI,Length,Details,direction_1,v0000,v0015,v0030,v0045,v0100,v0115,v0130,v0145,v0200,v0215,v0230,v0245,v0300,v0315,v0330,v0345,v0400,v0415,v0430,v0445,v0500,v0515,v0530,v0545,v0600,v0615,v0630,v0645,v0700,v0715,v0730,v0745,v0800,v0815,v0830,v0845,v0900,v0915,v0930,v0945,v1000,v1015,v1030,v1045,v1100,v1115,v1130,v1145,v1200,v1215,v1230,v1245,v1300,v1315,v1330,v1345,v1400,v1415,v1430,v1445,v1500,v1515,v1530,v1545,v1600,v1615,v1630,v1645,v1700,v1715,v1730,v1745,v1800,v1815,v1830,v1845,v1900,v1915,v1930,v1945,v2000,v2015,v2030,v2045,v2100,v2115,v2130,v2145,v2200,v2215,v2230,v2245,v2300,v2315,v2330,v2345,v_avg,v85
20190601,1,1.049,1.075,1.096,1.102,1.109,1.114,1.125,1.137,1.14,1.141,1.137,1.133,1.135,1.139,1.143,1.145,1.144,1.141,1.14,1.137,1.139,1.151,1.18,1.225,1.266,1.29,1.317,1.326,1.311,1.303,1.335,1.389,1.431,1.419,1.407,1.414,1.442,1.468,1.463,1.442,1.429,1.462,1.484,1.503,1.53,1.532,1.544,1.527,1.496,1.473,1.471,1.513,1.486,1.478,1.494,1.465,1.466,1.477,1.485,1.531,1.601,1.697,1.756,1.736,1.687,1.657,1.656,1.656,1.614,1.561,1.506,1.471,1.455,1.466,1.471,1.413,1.382,1.386,1.382,1.375,1.363,1.332,1.319,1.341,1.364,1.38,1.401,1.419,1.43,1.434,1.429,1.401,1.385,1.404,1.306,1.18,1.357,0,0,0,0,FALSE,40.42,39.87,39.46,39.27,39.07,38.99,38.76,38.51,38.46,38.34,38.35,38.33,38.28,38.24,38.2,38.19,38.3,38.4,38.48,38.61,38.59,38.14,37.15,35.88,34.83,34.19,33.9,34.08,34.4,34.29,33.42,32.22,31.3,31.4,31.78,31.57,31.5,31.27,31.34,31.92,31.93,31.16,30.67,30.31,29.88,29.98,29.76,29.89,30.45,30.87,30.96,30.62,30.58,30.6,30.37,30.85,30.71,30.36,29.93,28.9,27.47,26.21,25.71,25.94,26.61,27.3,27.6,27.74,28.38,29.18,29.92,30.38,30.82,31.09,31.62,32.44,32.87,32.75,32.55,32.34,32.22,32.66,33.26,33.3,33.17,33.21,32.79,32.59,32.75,32.82,33.11,33.82,34.14,33.93,34.75,36.67,33.13,42.04
20190602,1,1.025,1.04,1.048,1.039,1.038,1.039,1.05,1.073,1.104,1.124,1.133,1.137,1.132,1.134,1.149,1.189,1.238,1.274,1.308,1.325,1.382,1.417,1.442,1.444,1.426,1.419,1.419,1.398,1.381,1.349,1.345,1.347,1.358,1.373,1.367,1.344,1.34,1.362,1.407,1.419,1.407,1.4,1.375,1.369,1.368,1.349,1.322,1.336,1.362,1.375,1.358,1.359,1.34,1.304,1.292,1.284,1.299,1.33,1.351,1.364,1.349,1.332,1.329,1.358,1.393,1.371,1.342,1.332,1.338,1.391,1.464,1.465,1.411,1.36,1.304,1.279,1.292,1.323,1.325,1.318,1.297,1.275,1.258,1.265,1.276,1.279,1.294,1.299,1.299,1.297,1.292,1.281,1.276,1.297,1.252,1.174,1.286,0,0,0,0,FALSE,41.12,40.79,40.68,40.74,40.63,40.52,40.19,39.7,39.22,38.94,38.73,38.77,38.8,38.71,38.16,37.05,36.23,35.86,35.47,35.05,34.01,33.49,33.1,32.94,32.93,32.92,33.02,33.37,33.5,33.79,33.67,33.47,33.33,33.19,33.31,33.52,33.39,32.83,31.95,31.55,31.73,31.96,32.36,32.39,32.45,32.73,33.28,33.23,32.87,32.71,33.03,33.14,33.59,34.19,34.41,34.63,34.22,33.53,33.14,32.92,33.17,33.29,33.06,32.54,32.23,32.59,32.99,32.98,32.96,32.48,31.77,31.7,32.5,33.39,34.25,34.69,34.33,33.74,33.66,33.8,34.15,34.5,34.74,34.64,34.51,34.27,34.04,33.72,33.68,33.72,33.67,33.95,34.09,33.79,34.71,36.48,34.5,42.04
20190603,1,1.126,1.204,1.257,1.267,1.277,1.283,1.283,1.28,1.286,1.299,1.306,1.315,1.318,1.321,1.32,1.315,1.31,1.31,1.317,1.346,1.379,1.379,1.348,1.315,1.295,1.329,1.406,1.49,1.578,1.694,1.817,1.837,1.745,1.655,1.587,1.564,1.609,1.646,1.604,1.536,1.473,1.417,1.359,1.344,1.368,1.41,1.425,1.438,1.446,1.441,1.43,1.431,1.439,1.46,1.495,1.539,1.55,1.557,1.539,1.501,1.503,1.5,1.502,1.517,1.549,1.621,1.733,1.825,1.897,1.818,1.644,1.481,1.416,1.4,1.388,1.398,1.417,1.389,1.389,1.384,1.401,1.397,1.379,1.344,1.34,1.357,1.372,1.375,1.335,1.331,1.291,1.214,1.169,1.17,1.157,1.111,1.409,0,0,0,0,FALSE,38.13,36.55,35.61,35.32,35.1,34.98,35.05,35.24,35.17,34.99,34.95,34.82,34.72,34.71,34.76,34.92,35.04,34.98,34.8,34.06,33.46,33.42,33.78,34.19,34.13,32.92,31.37,29.98,28.5,27.15,26.22,25.86,26.94,28.22,28.8,29.02,28.3,27.63,28.42,29.55,31.05,32.76,33.98,34.44,34.02,33.04,31.98,31.18,30.8,30.95,31.05,31.17,31.14,30.56,29.7,28.63,28.21,28.04,28.47,29.32,29.74,30.05,29.99,29.76,29.44,28.6,27.46,26.87,27.03,27.6,28.86,31.88,33.42,33.86,34.3,33.76,32.04,32.09,32.01,31.95,31.85,32.13,32.6,33.24,33.42,33.48,33.58,33.7,34.25,34.63,35.05,36,36.78,36.95,37.47,38.57,32.15,42.04
20190604,1,1.086,1.138,1.171,1.166,1.162,1.158,1.152,1.155,1.174,1.192,1.204,1.206,1.211,1.212,1.212,1.212,1.214,1.214,1.216,1.221,1.233,1.237,1.248,1.284,1.293,1.334,1.424,1.558,1.724,1.881,1.935,1.868,1.718,1.6,1.539,1.518,1.497,1.541,1.585,1.606,1.61,1.63,1.613,1.602,1.594,1.557,1.525,1.502,1.5,1.522,1.515,1.499,1.461,1.438,1.424,1.423,1.47,1.515,1.58,1.642,1.653,1.65,1.634,1.644,1.689,1.756,1.823,1.901,1.982,1.942,1.822,1.675,1.544,1.447,1.382,1.328,1.304,1.306,1.329,1.368,1.367,1.338,1.323,1.315,1.325,1.326,1.328,1.342,1.357,1.36,1.33,1.287,1.269,1.263,1.22,1.139,1.417,0,0,0,0,FALSE,39.14,37.93,37.32,37.37,37.4,37.47,37.67,37.65,37.2,36.96,36.9,36.96,36.94,36.95,36.95,36.93,36.84,36.81,36.66,36.46,35.98,35.64,35.37,34.69,34.41,33,30.91,29.11,27.56,26.29,25.63,26.03,27.07,28.12,29.02,29.47,30.02,29.87,29.56,29.04,28.85,28.29,28.56,28.59,28.61,28.93,29.36,29.89,30.03,29.9,29.9,29.96,30.37,30.72,30.91,30.85,29.99,29.2,28.11,27.15,26.79,26.74,27.1,27.29,27.01,26.67,26.2,25.75,25.17,25.17,25.87,27.56,29.63,31.41,32.41,33.28,33.65,33.53,33.14,32.58,32.65,33.08,33.21,33.3,33.1,32.98,32.86,32.67,32.56,32.48,33.05,33.93,34.45,34.8,35.66,37.46,31.82,42.04
20190605,1,1.101,1.184,1.262,1.262,1.265,1.27,1.273,1.273,1.272,1.271,1.271,1.274,1.276,1.276,1.278,1.279,1.286,1.293,1.296,1.302,1.287,1.259,1.237,1.229,1.258,1.298,1.372,1.491,1.613,1.718,1.726,1.687,1.644,1.638,1.623,1.573,1.535,1.482,1.464,1.45,1.462,1.479,1.476,1.47,1.475,1.487,1.513,1.538,1.539,1.519,1.507,1.482,1.467,1.467,1.472,1.49,1.507,1.514,1.522,1.488,1.434,1.39,1.397,1.458,1.581,1.717,1.815,1.889,1.888,1.821,1.756,1.705,1.642,1.58,1.51,1.443,1.396,1.349,1.323,1.304,1.321,1.365,1.405,1.429,1.431,1.385,1.346,1.342,1.337,1.326,1.354,1.385,1.392,1.405,1.325,1.183,1.416,0,0,0,0,FALSE,39.26,38.14,37.52,37.49,37.39,37.21,37.09,37.13,37.22,37.28,37.3,37.22,37.14,37.15,37.09,37.09,36.88,36.69,36.63,36.44,36.37,36.52,36.69,36.65,35.77,34.31,31.95,29.61,28.06,27.28,26.97,26.88,27.18,27.22,27.3,28.05,28.77,29.71,30.18,30.23,29.91,29.63,29.73,30.15,30.21,29.99,29.57,29.27,29.37,29.75,29.86,30.07,30.1,29.84,29.51,29.38,29.51,29.78,30.02,30.64,31.32,31.87,31.6,30.52,28.65,27.03,26.36,26.16,26.41,26.67,26.64,26.65,27.32,28.09,29.37,30.95,32.59,33.68,34.09,34.36,34.05,33.12,32.18,31.9,32.22,33.17,34.14,34.4,34.39,34.37,33.66,32.99,32.96,32.98,34.04,36.52,32.13,42.04
20190606,1,1.072,1.127,1.176,1.168,1.152,1.141,1.13,1.125,1.119,1.118,1.118,1.12,1.13,1.137,1.138,1.135,1.125,1.126,1.14,1.165,1.199,1.216,1.243,1.314,1.383,1.477,1.591,1.688,1.801,1.906,2.007,1.98,1.927,1.889,1.846,1.772,1.682,1.637,1.625,1.644,1.695,1.713,1.664,1.679,1.687,1.694,1.696,1.697,1.673,1.644,1.626,1.618,1.619,1.651,1.66,1.685,1.683,1.712,1.714,1.689,1.644,1.589,1.594,1.662,1.743,1.849,1.984,2.067,2.061,2.065,1.993,1.879,1.816,1.749,1.636,1.553,1.481,1.414,1.361,1.339,1.327,1.313,1.311,1.327,1.347,1.387,1.417,1.419,1.374,1.332,1.314,1.306,1.309,1.321,1.26,1.161,1.486,0,0,0,0,FALSE,39.89,39.01,38.53,38.56,38.67,38.76,38.98,39.11,39.3,39.35,39.39,39.29,38.92,38.63,38.58,38.42,38.25,38.03,37.73,37.58,36.99,36.56,35.84,33.78,31.96,30.05,28.26,27.04,25.99,25.31,25,25.22,25.41,25.51,25.69,26.32,27.24,27.59,27.59,27.14,26.19,25.86,26.29,26.4,26.65,26.66,26.61,26.87,27.66,28.29,28.71,28.75,28.13,27.65,27.64,27.66,27.76,27.35,27.01,27.09,27.49,28.08,28,27.23,26.25,25.26,24.78,25.18,25.9,26.24,27.02,27.75,28.23,28.8,29.71,30.73,31.6,32.65,33.27,33.59,33.79,33.99,34.09,34.09,33.68,32.9,32.28,32.29,32.99,33.41,33.64,33.82,33.97,33.96,35.05,37,31.29,42.04
20190607,1,1.128,1.222,1.286,1.27,1.262,1.26,1.259,1.257,1.254,1.249,1.246,1.246,1.247,1.248,1.25,1.25,1.246,1.244,1.253,1.287,1.333,1.348,1.329,1.321,1.34,1.389,1.485,1.575,1.654,1.716,1.7,1.632,1.583,1.573,1.579,1.594,1.586,1.574,1.595,1.652,1.693,1.761,1.797,1.792,1.833,1.836,1.837,1.878,1.951,2.014,2.085,2.107,2.076,2.037,1.993,1.945,1.93,1.962,2.007,2.045,1.983,1.976,2.082,2.137,2.211,2.222,2.042,1.829,1.701,1.642,1.595,1.577,1.525,1.484,1.48,1.455,1.421,1.381,1.353,1.351,1.376,1.37,1.349,1.335,1.342,1.378,1.406,1.424,1.396,1.327,1.292,1.265,1.254,1.274,1.237,1.155,1.542,0,0,0,0,FALSE,38.35,37.08,36.82,37.26,37.5,37.57,37.56,37.58,37.67,37.86,37.97,37.98,37.98,37.93,37.83,37.79,37.88,37.93,37.61,36.6,35.45,34.97,35.27,35.41,34.84,33.31,30.95,28.99,27.53,26.66,26.82,27.45,28.13,28.26,28.33,28.37,28.41,28.68,28.34,27.79,27.58,27.05,26.81,27.16,27.12,27.34,27.62,27.25,26.68,26.13,25.47,25,24.95,25.07,25.4,25.51,25.39,25.66,26.06,25.9,26.03,25.67,24.47,23.75,22.83,22.72,23.93,25.34,26.77,28,29.12,29.72,30.23,30.5,30.41,30.97,31.73,32.25,32.41,32.13,31.89,32.32,32.92,33.34,33.43,32.76,32.21,31.8,32.13,33.37,34.2,34.78,34.99,34.59,35.19,36.96,31.02,42.04
20190608,1,1.065,1.097,1.107,1.1,1.105,1.117,1.127,1.137,1.148,1.152,1.152,1.148,1.152,1.157,1.158,1.149,1.145,1.141,1.141,1.145,1.152,1.163,1.175,1.202,1.248,1.286,1.309,1.325,1.352,1.399,1.433,1.409,1.392,1.41,1.449,1.523,1.59,1.646,1.731,1.819,1.903,2.024,2.106,2.188,2.221,2.23,2.208,2.187,2.146,2.153,2.207,2.359,2.295,2.165,2.018,1.888,1.811,1.778,1.733,1.682,1.645,1.605,1.595,1.551,1.534,1.554,1.523,1.498,1.474,1.455,1.475,1.499,1.502,1.466,1.398,1.346,1.31,1.293,1.311,1.357,1.395,1.376,1.339,1.312,1.301,1.335,1.357,1.348,1.328,1.272,1.224,1.191,1.171,1.17,1.15,1.102,1.461,0,0,0,0,FALSE,39.95,39.3,39.09,39.23,39.23,39.19,39.12,39.02,38.8,38.6,38.55,38.62,38.52,38.47,38.56,38.97,39.22,39.39,39.42,39.21,38.93,38.57,38.12,37.21,35.93,35.03,34.74,34.3,33.63,32.67,32.06,32.44,32.81,32.41,31.84,30.83,30.01,29.52,28.72,27.95,26.86,25.52,25,24.84,24.76,24.8,25.41,26.05,26.32,25.87,24.57,23.19,22.93,23.39,24.49,25.96,26.87,27.42,27.76,27.98,28.29,28.73,28.96,29.52,29.66,29.28,29.56,29.69,30.11,30.61,30.64,30.52,30.53,31.35,32.38,33.3,34.01,34.47,34.14,33.38,32.73,32.88,33.41,33.91,33.78,32.93,32.59,32.81,33.24,34.46,35.7,36.68,37.18,37.31,37.65,38.73,32.64,42.04
20190609,1,1.056,1.097,1.127,1.132,1.139,1.144,1.149,1.149,1.141,1.124,1.113,1.117,1.143,1.18,1.207,1.223,1.236,1.26,1.29,1.323,1.354,1.379,1.39,1.369,1.327,1.303,1.3,1.319,1.354,1.371,1.41,1.464,1.484,1.488,1.488,1.474,1.512,1.549,1.555,1.546,1.519,1.446,1.414,1.404,1.406,1.389,1.361,1.32,1.291,1.286,1.304,1.325,1.324,1.314,1.316,1.312,1.306,1.312,1.344,1.371,1.401,1.434,1.465,1.476,1.482,1.456,1.412,1.407,1.408,1.428,1.462,1.471,1.459,1.443,1.429,1.413,1.413,1.416,1.415,1.393,1.336,1.29,1.266,1.244,1.268,1.303,1.33,1.362,1.349,1.28,1.254,1.237,1.224,1.224,1.184,1.108,1.316,0,0,0,0,FALSE,40.25,39.48,39.1,39.1,39.09,39.04,39.02,39.04,39.08,39.31,39.46,39.3,38.76,38.14,37.86,37.68,37.36,36.9,36.38,35.74,34.75,33.83,33.58,34.12,34.83,35.15,35.11,34.61,33.88,33.42,32.65,31.72,31.31,31.15,31.05,31.4,31.23,30.82,30.49,30.14,30.3,31.09,31.61,31.81,31.77,32.06,32.88,33.98,34.54,34.65,34.41,34.24,34.29,34.29,34.45,34.41,34.51,34.36,33.9,33.24,32.46,31.61,30.92,30.73,30.81,31.32,32.21,32.47,32.55,32.15,31.43,31.2,31.46,31.73,31.96,32.18,32.11,32.08,32.26,32.63,33.45,34.27,34.84,35.47,35.07,34.29,33.87,33.42,33.63,34.6,35.02,35.32,35.75,35.82,36.63,38.45,34.25,42.04
20190610,1,1.059,1.101,1.135,1.133,1.133,1.133,1.134,1.133,1.126,1.115,1.109,1.106,1.116,1.135,1.149,1.158,1.167,1.187,1.215,1.246,1.269,1.293,1.306,1.314,1.322,1.323,1.334,1.333,1.305,1.308,1.357,1.384,1.402,1.428,1.444,1.443,1.45,1.461,1.455,1.446,1.447,1.433,1.406,1.388,1.361,1.328,1.318,1.332,1.359,1.379,1.391,1.42,1.444,1.44,1.438,1.472,1.49,1.496,1.488,1.449,1.391,1.342,1.302,1.285,1.3,1.342,1.38,1.37,1.324,1.282,1.252,1.276,1.336,1.366,1.37,1.343,1.319,1.3,1.288,1.285,1.276,1.264,1.269,1.285,1.295,1.304,1.324,1.322,1.328,1.333,1.313,1.28,1.251,1.242,1.207,1.134,1.292,0,0,0,0,FALSE,40.11,39.34,39,39.07,39.12,39.18,39.14,39.14,39.38,39.73,39.97,40.09,39.8,39.36,39.09,38.88,38.43,37.71,37.02,36.47,36.07,35.69,35.52,35.36,34.86,34.58,34.29,34.17,34.47,34.37,33.58,33.15,32.76,32.52,32.53,32.6,32.56,32.63,32.89,32.85,32.68,32.88,33.32,33.67,34.03,34.23,34.22,33.9,33.55,33.18,32.67,31.99,31.44,31.18,30.94,30.3,29.92,29.71,29.9,30.76,31.86,32.68,33.34,33.81,33.73,33.42,32.82,32.91,33.71,34.32,34.65,33.87,32.35,31.65,31.71,32.56,33.35,33.94,34.42,34.62,34.73,35.03,35.04,34.87,34.84,34.6,34.27,34.3,34.16,33.89,34.25,34.99,35.72,36.22,36.94,38.33,34.69,42.04
