route_id,year,direction_1,month,v,TTI
3,2017,FALSE,10,37.87,1.41
3,2017,FALSE,11,36.87,1.45
3,2017,FALSE,12,36.94,1.45
3,2018,FALSE,1,38.80,1.38
3,2018,FALSE,2,35.45,1.35
3,2018,FALSE,3,35.24,1.44
3,2018,FALSE,4,36.99,1.45
3,2018,FALSE,5,37.06,1.44
3,2018,FALSE,6,37.14,1.44
3,2018,FALSE,7,36.99,1.44
3,2018,FALSE,8,38.14,1.40
3,2018,FALSE,9,38.21,1.40
3,2018,FALSE,10,37.38,1.43
3,2018,FALSE,11,37.84,1.41
3,2018,FALSE,12,37.82,1.41
3,2019,FALSE,1,37.84,1.41
3,2019,FALSE,2,38.78,1.38
3,2019,FALSE,3,38.37,1.39
3,2019,FALSE,4,39.06,1.37
3,2019,FALSE,5,38.84,1.38
3,2019,FALSE,6,39.03,1.37
3,2019,FALSE,7,37.23,1.44
3,2019,FALSE,8,38.20,1.40
3,2019,FALSE,9,37.99,1.41
3,2019,FALSE,10,37.29,1.43
2,2017,FALSE,10,35.44,1.39
2,2017,FALSE,11,35.16,1.40
2,2017,FALSE,12,34.91,1.41
2,2018,FALSE,1,37.35,1.32
2,2018,FALSE,2,37.67,1.36
2,2018,FALSE,3,34.64,1.40
2,2018,FALSE,4,35.85,1.38
2,2018,FALSE,5,35.23,1.40
2,2018,FALSE,6,35.71,1.38
2,2018,FALSE,7,35.38,1.40
2,2018,FALSE,8,35.78,1.38
2,2018,FALSE,9,35.24,1.40
2,2018,FALSE,10,35.39,1.40
2,2018,FALSE,11,32.91,1.50
2,2018,FALSE,12,35.42,1.39
2,2019,FALSE,1,36.02,1.37
2,2019,FALSE,2,36.65,1.35
2,2019,FALSE,3,35.93,1.37
2,2019,FALSE,4,35.73,1.38
2,2019,FALSE,5,34.87,1.42
2,2019,FALSE,6,35.68,1.38
2,2019,FALSE,7,35.98,1.37
2,2019,FALSE,8,36.61,1.35
2,2019,FALSE,9,35.80,1.38
2,2019,FALSE,10,35.72,1.38
4,2017,FALSE,10,35.05,1.33
4,2017,FALSE,11,29.95,1.56
4,2017,FALSE,12,34.17,1.36
4,2018,FALSE,1,35.77,1.30
4,2018,FALSE,2,29.76,1.37
4,2018,FALSE,3,34.63,1.29
4,2018,FALSE,4,33.97,1.37
4,2018,FALSE,5,34.28,1.36
4,2018,FALSE,6,34.48,1.35
4,2018,FALSE,7,34.86,1.34
4,2018,FALSE,8,35.44,1.32
4,2018,FALSE,9,35.36,1.32
4,2018,FALSE,10,33.84,1.38
4,2018,FALSE,11,34.36,1.36
4,2018,FALSE,12,33.82,1.38
4,2019,FALSE,1,34.51,1.35
4,2019,FALSE,2,35.75,1.30
4,2019,FALSE,3,35.49,1.31
4,2019,FALSE,4,35.87,1.30
4,2019,FALSE,5,35.39,1.32
4,2019,FALSE,6,35.85,1.30
4,2019,FALSE,7,35.84,1.30
4,2019,FALSE,8,35.36,1.32
4,2019,FALSE,9,35.87,1.30
4,2019,FALSE,10,33.72,1.38
5,2017,FALSE,10,30.35,1.50
5,2017,FALSE,11,29.80,1.53
5,2017,FALSE,12,29.89,1.53
5,2018,FALSE,1,31.85,1.43
5,2018,FALSE,2,32.17,1.40
5,2018,FALSE,3,31.23,1.46
5,2018,FALSE,4,29.55,1.55
5,2018,FALSE,5,29.78,1.53
5,2018,FALSE,6,31.12,1.47
5,2018,FALSE,7,31.50,1.45
5,2018,FALSE,8,31.47,1.45
5,2018,FALSE,9,31.93,1.43
5,2018,FALSE,10,30.12,1.52
5,2018,FALSE,11,31.39,1.45
5,2018,FALSE,12,30.77,1.48
5,2019,FALSE,1,30.82,1.48
5,2019,FALSE,2,31.88,1.43
5,2019,FALSE,3,31.53,1.45
5,2019,FALSE,4,31.86,1.43
5,2019,FALSE,5,31.45,1.45
5,2019,FALSE,6,31.80,1.44
5,2019,FALSE,7,32.56,1.40
5,2019,FALSE,8,32.85,1.39
