section_id,year,direction_1,month,v,TTI
S-39353,2017,FALSE,10,60.23,1.20
S-39353,2017,FALSE,11,57.26,1.26
S-39353,2017,FALSE,12,57.77,1.25
S-39353,2018,FALSE,1,57.68,1.25
S-39353,2018,FALSE,2,58.28,1.24
S-39353,2018,FALSE,3,57.71,1.25
S-39353,2018,FALSE,4,56.80,1.27
S-39353,2018,FALSE,5,57.55,1.26
S-39353,2018,FALSE,6,56.94,1.27
S-39353,2018,FALSE,7,57.15,1.27
S-39353,2018,FALSE,8,58.94,1.23
S-39353,2018,FALSE,9,59.70,1.21
S-39353,2018,FALSE,10,63.36,1.14
S-39353,2018,FALSE,11,59.14,1.22
S-39353,2018,FALSE,12,59.12,1.22
S-39353,2019,FALSE,1,58.20,1.24
S-39353,2019,FALSE,2,59.81,1.21
S-39353,2019,FALSE,3,60.13,1.20
S-39353,2019,FALSE,4,60.71,1.19
S-39353,2019,FALSE,5,61.26,1.18
S-39353,2019,FALSE,6,61.75,1.17
S-39353,2019,FALSE,7,60.87,1.19
S-39353,2019,FALSE,8,60.09,1.20
S-39353,2019,FALSE,9,60.26,1.20
S-39353,2019,FALSE,10,60.08,1.20
S-39354,2017,FALSE,10,59.98,1.17
S-39354,2017,FALSE,11,58.90,1.19
S-39354,2017,FALSE,12,59.42,1.18
S-39354,2018,FALSE,1,59.46,1.18
S-39354,2018,FALSE,2,60.86,1.15
S-39354,2018,FALSE,3,59.74,1.17
S-39354,2018,FALSE,4,60.72,1.15
S-39354,2018,FALSE,5,60.95,1.15
S-39354,2018,FALSE,6,59.76,1.17
S-39354,2018,FALSE,7,61.01,1.15
S-39354,2018,FALSE,8,59.03,1.19
S-39354,2018,FALSE,9,60.54,1.16
S-39354,2018,FALSE,10,60.53,1.16
S-39354,2018,FALSE,11,60.19,1.17
S-39354,2018,FALSE,12,58.67,1.20
S-39354,2019,FALSE,1,58.31,1.20
S-39354,2019,FALSE,2,59.04,1.19
S-39354,2019,FALSE,3,59.10,1.19
S-39354,2019,FALSE,4,59.72,1.17
S-39354,2019,FALSE,5,60.80,1.15
S-39354,2019,FALSE,6,60.58,1.16
S-39354,2019,FALSE,7,59.86,1.17
S-39354,2019,FALSE,8,59.63,1.18
S-39354,2019,FALSE,9,59.74,1.17
S-39354,2019,FALSE,10,58.57,1.20
S-39360,2017,FALSE,10,57.44,1.15
S-39360,2017,FALSE,11,55.95,1.18
S-39360,2017,FALSE,12,56.50,1.17
S-39360,2018,FALSE,1,56.91,1.16
S-39360,2018,FALSE,2,59.75,1.10
S-39360,2018,FALSE,3,55.71,1.18
S-39360,2018,FALSE,4,53.99,1.22
S-39360,2018,FALSE,5,54.66,1.21
S-39360,2018,FALSE,6,54.16,1.22
S-39360,2018,FALSE,7,53.28,1.24
S-39360,2018,FALSE,8,55.25,1.19
S-39360,2018,FALSE,9,56.50,1.17
S-39360,2018,FALSE,10,52.01,1.27
S-39360,2018,FALSE,11,55.49,1.19
S-39360,2018,FALSE,12,54.93,1.20
S-39360,2019,FALSE,1,53.54,1.23
S-39360,2019,FALSE,2,55.14,1.20
S-39360,2019,FALSE,3,54.89,1.20
S-39360,2019,FALSE,4,55.87,1.18
S-39360,2019,FALSE,5,55.82,1.18
S-39360,2019,FALSE,6,55.58,1.19
S-39360,2019,FALSE,7,55.22,1.20
S-39360,2019,FALSE,8,56.13,1.18
S-39360,2019,FALSE,9,56.47,1.17
S-39360,2019,FALSE,10,55.50,1.19
S-39372,2017,FALSE,10,45.39,1.26
S-39372,2017,FALSE,11,45.62,1.25
S-39372,2017,FALSE,12,45.39,1.26
S-39372,2018,FALSE,1,47.41,1.20
S-39372,2018,FALSE,2,48.83,1.17
S-39372,2018,FALSE,3,44.40,1.29
S-39372,2018,FALSE,4,45.29,1.26
S-39372,2018,FALSE,5,43.29,1.32
S-39372,2018,FALSE,6,44.69,1.28
S-39372,2018,FALSE,7,44.04,1.30
S-39372,2018,FALSE,8,45.46,1.26
S-39372,2018,FALSE,9,44.93,1.27
S-39372,2018,FALSE,10,43.49,1.31
S-39372,2018,FALSE,11,36.48,1.57
S-39372,2018,FALSE,12,44.96,1.27
S-39372,2019,FALSE,1,45.39,1.26
S-39372,2019,FALSE,2,45.95,1.24
S-39372,2019,FALSE,3,45.32,1.26
S-39372,2019,FALSE,4,44.16,1.29
S-39372,2019,FALSE,5,43.70,1.31
S-39372,2019,FALSE,6,45.76,1.25
S-39372,2019,FALSE,7,44.68,1.28
S-39372,2019,FALSE,8,45.51,1.25
S-39372,2019,FALSE,9,45.10,1.27
S-39372,2019,FALSE,10,44.62,1.28
S-39373,2017,FALSE,10,23.67,1.48
S-39373,2017,FALSE,11,23.61,1.49
S-39373,2017,FALSE,12,23.61,1.49
S-39373,2018,FALSE,1,25.46,1.38
S-39373,2018,FALSE,2,30.45,1.15
S-39373,2018,FALSE,3,27.34,1.28
S-39373,2018,FALSE,4,23.21,1.51
S-39373,2018,FALSE,5,23.55,1.49
S-39373,2018,FALSE,6,24.17,1.45
S-39373,2018,FALSE,7,24.25,1.45
S-39373,2018,FALSE,8,24.25,1.45
S-39373,2018,FALSE,9,24.45,1.43
S-39373,2018,FALSE,10,23.28,1.51
S-39373,2018,FALSE,11,23.93,1.47
S-39373,2018,FALSE,12,23.70,1.48
S-39373,2019,FALSE,1,24.17,1.45
S-39373,2019,FALSE,2,25.12,1.40
S-39373,2019,FALSE,3,24.26,1.45
S-39373,2019,FALSE,4,25.14,1.40
S-39373,2019,FALSE,5,25.03,1.40
S-39373,2019,FALSE,6,25.14,1.39
S-39373,2019,FALSE,7,25.94,1.35
S-39373,2019,FALSE,8,27.03,1.30
S-39373,2019,FALSE,9,26.96,1.30
S-39373,2019,FALSE,10,25.28,1.39
S-39373,2017,FALSE,10,28.92,1.36
S-39373,2017,FALSE,11,26.34,1.49
S-39373,2017,FALSE,12,28.19,1.39
S-39373,2018,FALSE,1,30.59,1.28
S-39373,2018,FALSE,2,30.17,1.31
S-39373,2018,FALSE,3,29.43,1.33
S-39373,2018,FALSE,4,26.20,1.50
S-39373,2018,FALSE,5,28.56,1.37
S-39373,2018,FALSE,6,28.39,1.38
S-39373,2018,FALSE,7,27.91,1.40
S-39373,2018,FALSE,8,30.72,1.28
S-39373,2018,FALSE,9,29.84,1.31
S-39373,2018,FALSE,10,27.91,1.40
S-39373,2018,FALSE,11,29.07,1.35
S-39373,2018,FALSE,12,28.73,1.36
S-39373,2019,FALSE,1,29.69,1.32
S-39373,2019,FALSE,2,31.05,1.26
S-39373,2019,FALSE,3,29.45,1.33
S-39373,2019,FALSE,4,30.15,1.30
S-39373,2019,FALSE,5,28.90,1.36
S-39373,2019,FALSE,6,29.90,1.31
S-39373,2019,FALSE,7,27.79,1.41
S-39373,2019,FALSE,8,29.18,1.34
S-39373,2019,FALSE,9,31.17,1.26
S-39373,2019,FALSE,10,29.37,1.33
S-39375,2017,FALSE,10,25.00,1.35
S-39375,2017,FALSE,11,24.30,1.39
S-39375,2017,FALSE,12,24.47,1.38
S-39375,2018,FALSE,1,25.65,1.32
S-39375,2018,FALSE,2,21.36,1.58
S-39375,2018,FALSE,3,20.95,1.61
S-39375,2018,FALSE,4,23.93,1.41
S-39375,2018,FALSE,5,24.70,1.37
S-39375,2018,FALSE,6,25.30,1.34
S-39375,2018,FALSE,7,25.28,1.34
S-39375,2018,FALSE,8,25.94,1.30
S-39375,2018,FALSE,9,25.23,1.34
S-39375,2018,FALSE,10,24.72,1.37
S-39375,2018,FALSE,11,25.35,1.33
S-39375,2018,FALSE,12,24.92,1.36
S-39375,2019,FALSE,1,24.74,1.37
S-39375,2019,FALSE,2,25.41,1.33
S-39375,2019,FALSE,3,24.81,1.36
S-39375,2019,FALSE,4,25.59,1.32
S-39375,2019,FALSE,5,25.36,1.33
S-39375,2019,FALSE,6,25.29,1.34
S-39375,2019,FALSE,7,26.22,1.29
S-39375,2019,FALSE,8,27.28,1.24
S-39375,2019,FALSE,9,26.82,1.26
S-39375,2019,FALSE,10,25.21,1.34
S-39376,2017,FALSE,10,40.49,1.19
S-39376,2017,FALSE,11,40.69,1.19
S-39376,2017,FALSE,12,41.68,1.16
S-39376,2018,FALSE,1,41.19,1.17
S-39376,2018,FALSE,2,45.69,1.06
S-39376,2018,FALSE,3,37.46,1.29
S-39376,2018,FALSE,4,40.64,1.19
S-39376,2018,FALSE,5,39.70,1.22
S-39376,2018,FALSE,6,39.60,1.22
S-39376,2018,FALSE,7,40.41,1.20
S-39376,2018,FALSE,8,39.76,1.21
S-39376,2018,FALSE,9,39.51,1.22
S-39376,2018,FALSE,10,39.12,1.23
S-39376,2018,FALSE,11,38.75,1.25
S-39376,2018,FALSE,12,38.70,1.25
S-39376,2019,FALSE,1,37.74,1.28
S-39376,2019,FALSE,2,40.34,1.20
S-39376,2019,FALSE,3,39.71,1.22
S-39376,2019,FALSE,4,39.44,1.22
S-39376,2019,FALSE,5,39.41,1.23
S-39376,2019,FALSE,6,39.48,1.22
S-39376,2019,FALSE,7,40.49,1.19
S-39376,2019,FALSE,8,39.65,1.22
S-39376,2019,FALSE,9,40.02,1.21
S-39376,2019,FALSE,10,39.82,1.21
S-39380,2017,FALSE,10,61.88,1.18
S-39380,2017,FALSE,11,57.23,1.28
S-39380,2017,FALSE,12,55.07,1.33
S-39380,2018,FALSE,1,56.68,1.29
S-39380,2018,FALSE,2,58.80,1.24
S-39380,2018,FALSE,3,61.84,1.18
S-39380,2018,FALSE,4,57.01,1.28
S-39380,2018,FALSE,5,59.22,1.23
S-39380,2018,FALSE,6,58.42,1.25
S-39380,2018,FALSE,7,54.23,1.35
S-39380,2018,FALSE,8,59.30,1.23
S-39380,2018,FALSE,9,58.72,1.24
S-39380,2018,FALSE,10,65.60,1.11
S-39380,2018,FALSE,11,58.32,1.25
S-39380,2018,FALSE,12,56.35,1.30
S-39380,2019,FALSE,1,52.69,1.39
S-39380,2019,FALSE,2,57.15,1.28
S-39380,2019,FALSE,3,60.09,1.22
S-39380,2019,FALSE,4,59.68,1.22
S-39380,2019,FALSE,5,58.83,1.24
S-39380,2019,FALSE,6,61.24,1.19
S-39380,2019,FALSE,7,58.15,1.26
S-39380,2019,FALSE,8,60.52,1.21
S-39380,2019,FALSE,9,57.02,1.28
S-39380,2019,FALSE,10,57.59,1.27
S-39384,2017,FALSE,10,56.76,1.15
S-39384,2017,FALSE,11,54.19,1.20
S-39384,2017,FALSE,12,53.87,1.21
S-39384,2018,FALSE,1,54.58,1.19
S-39384,2018,FALSE,2,53.07,1.22
S-39384,2018,FALSE,3,46.97,1.39
S-39384,2018,FALSE,4,54.27,1.20
S-39384,2018,FALSE,5,54.12,1.20
S-39384,2018,FALSE,6,53.27,1.22
S-39384,2018,FALSE,7,54.18,1.20
S-39384,2018,FALSE,8,54.88,1.19
S-39384,2018,FALSE,9,54.62,1.19
S-39384,2018,FALSE,10,55.52,1.17
S-39384,2018,FALSE,11,54.17,1.20
S-39384,2018,FALSE,12,53.64,1.21
S-39384,2019,FALSE,1,51.40,1.27
S-39384,2019,FALSE,2,54.61,1.19
S-39384,2019,FALSE,3,55.40,1.17
S-39384,2019,FALSE,4,56.36,1.16
S-39384,2019,FALSE,5,55.69,1.17
S-39384,2019,FALSE,6,56.11,1.16
S-39384,2019,FALSE,7,54.04,1.21
S-39384,2019,FALSE,8,54.31,1.20
S-39384,2019,FALSE,9,52.07,1.25
S-39384,2019,FALSE,10,53.70,1.21
S-39385,2017,FALSE,10,65.33,1.20
S-39385,2017,FALSE,11,58.30,1.35
S-39385,2017,FALSE,12,57.17,1.37
S-39385,2018,FALSE,1,57.85,1.36
S-39385,2018,FALSE,2,54.52,1.43
S-39385,2018,FALSE,3,64.53,1.22
S-39385,2018,FALSE,4,60.43,1.30
