segment_id,direction_1,year,month,v,TTI
901268654,FALSE,2017,10,62.89,1.13
901268654,FALSE,2017,11,61.64,1.15
901268654,FALSE,2017,12,61.41,1.16
901268654,FALSE,2018,1,61.48,1.15
901268654,FALSE,2018,2,63.87,1.11
901268654,FALSE,2018,3,61.55,1.15
901268654,FALSE,2018,4,62.8,1.13
901268654,FALSE,2018,5,62.94,1.13
901268654,FALSE,2018,6,61.6,1.15
901268654,FALSE,2018,7,62.93,1.13
901268654,FALSE,2018,8,61.86,1.15
901268654,FALSE,2018,9,63.01,1.13
901268654,FALSE,2018,10,63.49,1.12
901268654,FALSE,2018,11,62.67,1.13
901268654,FALSE,2018,12,61.28,1.16
901268654,FALSE,2019,1,60.94,1.17
901268654,FALSE,2019,2,61.06,1.16
901268654,FALSE,2019,3,61.56,1.15
901268654,FALSE,2019,4,62.6,1.13
901268654,FALSE,2019,5,62.96,1.13
901268654,FALSE,2019,6,62.54,1.14
901268654,FALSE,2019,7,62.2,1.14
901268654,FALSE,2019,8,62.36,1.14
901268654,FALSE,2019,9,61.93,1.15
901268654,FALSE,2019,10,61.97,1.15
901268655,FALSE,2017,10,63.28,1.12
901268655,FALSE,2017,11,61.11,1.16
901268655,FALSE,2017,12,61.23,1.16
901268655,FALSE,2018,1,61.21,1.16
901268655,FALSE,2018,2,64.88,1.09
901268655,FALSE,2018,3,62.22,1.14
901268655,FALSE,2018,4,62.06,1.14
901268655,FALSE,2018,5,61.63,1.15
901268655,FALSE,2018,6,60.59,1.17
901268655,FALSE,2018,7,60.61,1.17
901268655,FALSE,2018,8,61.64,1.15
901268655,FALSE,2018,9,62.81,1.13
901268655,FALSE,2018,10,64.88,1.09
901268655,FALSE,2018,11,62.21,1.14
901268655,FALSE,2018,12,61.46,1.16
901268655,FALSE,2019,1,61.56,1.15
901268655,FALSE,2019,2,62.35,1.14
901268655,FALSE,2019,3,62.67,1.13
901268655,FALSE,2019,4,63.14,1.12
901268655,FALSE,2019,5,63.79,1.11
901268655,FALSE,2019,6,64.05,1.11
901268655,FALSE,2019,7,63.48,1.12
901268655,FALSE,2019,8,63.36,1.12
901268655,FALSE,2019,9,63.46,1.12
901268655,FALSE,2019,10,63.43,1.12
901268657,FALSE,2017,10,67.86,1.18
